pickup_hour,dropoff_hour,count
23,23,483605
0,0,385730
1,2,61762
11,12,129499
17,17,513568
21,22,135788
3,4,35119
4,5,21667
16,18,864
14,16,906
10,12,270
8,10,494
16,15,59
11,10,65
12,15,9
0,23,75
14,13,106
15,13,17
5,7,70
16,19,12
8,17,1
19,23,10
22,20,4
2,0,54
19,6,1
0,21,3
20,18,4
21,1,8
10,17,2
19,2,4
11,14,16
11,15,5
19,3,3
3,22,1
22,2,9
14,21,4
15,7,10
23,17,2
14,5,1
16,14,5
0,19,1
13,17,6
2,5,3
17,5,1
12,18,1
15,11,5
18,21,9
20,3,4
7,14,2
5,14,1
15,2,9
21,2,2
3,18,1
4,9,1
12,17,1
20,5,1
17,21,1
5,18,1
16,8,1
0,18,2
1,9,1
10,18,1
6,11,1
16,22,1
5,9,3
9,18,1
22,19,1
5,15,1
9,19,1
8,9,125068
21,21,575352
23,0,108476
19,20,151058
18,19,167428
8,8,435904
18,18,631622
2,2,222563
16,17,119255
2,3,45314
10,11,117935
5,0,90
18,20,130
7,13,3
22,3,1
3,5,29
21,20,72
14,17,34
20,19,80
15,1,19
10,0,97
12,11,90
3,7,2
13,16,17
15,19,9
15,6,19
19,21,73
13,12,79
23,22,83
6,13,7
15,12,11
11,17,1
11,7,1
6,14,6
23,4,1
4,6,21
9,5,1
1,4,10
9,7,6
0,22,4
22,16,1
0,7,3
7,21,1
20,6,1
20,14,1
21,10,1
8,15,2
9,14,2
13,19,1
0,8,2
18,1,1
23,7,2
0,9,1
6,12,1
20,2,1
5,12,1
0,13,1
4,7,1
13,8,1
22,22,557548
19,19,653731
15,15,510697
20,20,598237
17,18,154322
4,4,121421
7,7,353603
14,15,145604
6,6,208053
11,11,466484
12,13,128261
6,7,59641
7,8,101025
5,6,27610
9,11,272
8,11,23
15,0,154
13,15,526
17,16,75
21,23,66
11,13,184
16,12,2
17,15,9
0,12,2
20,23,12
2,1,62
23,1,70
22,6,3
18,17,90
8,16,1
19,18,74
12,0,104
6,5,27
4,0,54
7,6,39
5,4,34
12,10,3
15,18,27
14,22,2
7,10,24
9,8,37
11,9,7
12,9,2
5,8,2
19,22,14
11,18,5
15,3,14
15,5,21
17,14,3
0,3,9
15,21,3
9,17,3
16,6,1
18,23,1
1,10,1
19,17,1
10,2,1
4,8,4
1,23,1
7,15,3
12,19,1
21,5,1
4,11,2
5,11,1
23,3,9
14,11,2
19,12,1
0,10,2
20,8,2
7,16,1
13,9,1
17,1,2
6,22,2
2,11,1
17,2,1
18,14,1
0,1,83897
16,16,456065
1,1,293069
10,10,449274
14,14,511868
12,12,508667
13,14,133527
15,16,136249
3,3,163212
22,23,128982
7,9,1067
15,17,1022
0,2,77
12,14,194
17,0,165
14,0,140
18,0,121
13,0,131
19,0,103
13,11,8
3,2,54
15,14,84
22,21,93
20,22,74
3,0,35
9,0,102
3,16,2
9,12,12
2,6,2
1,3,59
21,19,8
6,17,1
22,1,13
12,16,6
10,13,17
23,2,13
10,7,1
15,22,11
8,7,25
11,16,3
6,10,8
10,14,9
2,4,41
15,4,18
14,19,2
1,5,9
23,21,2
8,12,7
11,19,3
15,23,20
23,5,2
1,6,1
3,6,2
15,8,3
14,18,5
5,17,1
16,13,1
10,16,2
5,20,1
14,12,3
19,16,1
0,20,1
1,16,2
2,13,1
8,14,1
20,4,1
9,23,1
15,9,2
8,6,3
21,8,1
9,21,1
5,3,1
23,10,1
2,10,1
15,20,1
22,11,1
2,23,1
13,13,501105
9,9,457809
9,10,121653
20,21,135259
5,5,99545
11,0,90
22,0,147
7,0,194
10,8,6
6,8,442
16,20,5
4,3,34
8,0,150
17,19,439
20,0,117
3,1,4
6,0,157
18,15,7
1,0,135
16,0,122
9,6,2
9,13,5
7,12,5
22,5,6
21,0,128
19,10,2
18,16,7
10,9,54
23,14,1
0,4,13
15,10,4
18,22,9
7,11,7
4,12,2
22,4,1
16,23,2
6,9,10
23,6,2
8,13,3
21,6,1
1,8,1
17,20,9
17,22,2
6,4,3
7,5,2
6,15,1
20,10,1
13,21,1
19,13,1
4,2,1
3,11,3
0,11,1
17,23,2
9,16,2
0,6,1
16,21,1
10,6,1
10,15,1
